quadkey	wkt
24130519	POLYGON ((98.349609375 7.822265625, 98.349609375 7.91015625, 98.4375 7.91015625, 98.4375 7.822265625, 98.349609375 7.822265625))
24131202	POLYGON ((98.4375 7.822265625, 98.4375 7.91015625, 98.525390625 7.91015625, 98.525390625 7.822265625, 98.4375 7.822265625))
24131203	POLYGON ((98.525390625 7.822265625, 98.525390625 7.91015625, 98.61328125 7.91015625, 98.61328125 7.822265625, 98.525390625 7.822265625))
24131206	POLYGON ((98.61328125 7.822265625, 98.61328125 7.91015625, 98.701171875 7.91015625, 98.701171875 7.822265625, 98.61328125 7.822265625))
24131207	POLYGON ((98.701171875 7.822265625, 98.701171875 7.91015625, 98.7890625 7.91015625, 98.7890625 7.822265625, 98.701171875 7.822265625))
24131218	POLYGON ((98.7890625 7.822265625, 98.7890625 7.91015625, 98.876953125 7.91015625, 98.876953125 7.822265625, 98.7890625 7.822265625))
24131219	POLYGON ((98.876953125 7.822265625, 98.876953125 7.91015625, 98.96484375 7.91015625, 98.96484375 7.822265625, 98.876953125 7.822265625))
24131222	POLYGON ((98.96484375 7.822265625, 98.96484375 7.91015625, 99.052734375 7.91015625, 99.052734375 7.822265625, 98.96484375 7.822265625))
24131522	POLYGON ((100.546875 7.822265625, 100.546875 7.91015625, 100.634765625 7.91015625, 100.634765625 7.822265625, 100.546875 7.822265625))
24130525	POLYGON ((98.349609375 7.91015625, 98.349609375 7.998046875, 98.4375 7.998046875, 98.4375 7.91015625, 98.349609375 7.91015625))
24131208	POLYGON ((98.4375 7.91015625, 98.4375 7.998046875, 98.525390625 7.998046875, 98.525390625 7.91015625, 98.4375 7.91015625))
24131209	POLYGON ((98.525390625 7.91015625, 98.525390625 7.998046875, 98.61328125 7.998046875, 98.61328125 7.91015625, 98.525390625 7.91015625))
24131212	POLYGON ((98.61328125 7.91015625, 98.61328125 7.998046875, 98.701171875 7.998046875, 98.701171875 7.91015625, 98.61328125 7.91015625))
24131213	POLYGON ((98.701171875 7.91015625, 98.701171875 7.998046875, 98.7890625 7.998046875, 98.7890625 7.91015625, 98.701171875 7.91015625))
24131224	POLYGON ((98.7890625 7.91015625, 98.7890625 7.998046875, 98.876953125 7.998046875, 98.876953125 7.91015625, 98.7890625 7.91015625))
24131225	POLYGON ((98.876953125 7.91015625, 98.876953125 7.998046875, 98.96484375 7.998046875, 98.96484375 7.91015625, 98.876953125 7.91015625))
24131228	POLYGON ((98.96484375 7.91015625, 98.96484375 7.998046875, 99.052734375 7.998046875, 99.052734375 7.91015625, 98.96484375 7.91015625))
24131528	POLYGON ((100.546875 7.91015625, 100.546875 7.998046875, 100.634765625 7.998046875, 100.634765625 7.91015625, 100.546875 7.91015625))
24130527	POLYGON ((98.349609375 7.998046875, 98.349609375 8.0859375, 98.4375 8.0859375, 98.4375 7.998046875, 98.349609375 7.998046875))
24131210	POLYGON ((98.4375 7.998046875, 98.4375 8.0859375, 98.525390625 8.0859375, 98.525390625 7.998046875, 98.4375 7.998046875))
24131211	POLYGON ((98.525390625 7.998046875, 98.525390625 8.0859375, 98.61328125 8.0859375, 98.61328125 7.998046875, 98.525390625 7.998046875))
