quadkey	wkt
24141881	POLYGON ((101.689453125 6.15234375, 101.689453125 6.240234375, 101.77734375 6.240234375, 101.77734375 6.15234375, 101.689453125 6.15234375))
24141884	POLYGON ((101.77734375 6.15234375, 101.77734375 6.240234375, 101.865234375 6.240234375, 101.865234375 6.15234375, 101.77734375 6.15234375))
24141885	POLYGON ((101.865234375 6.15234375, 101.865234375 6.240234375, 101.953125 6.240234375, 101.953125 6.15234375, 101.865234375 6.15234375))
24141928	POLYGON ((101.953125 6.15234375, 101.953125 6.240234375, 102.041015625 6.240234375, 102.041015625 6.15234375, 101.953125 6.15234375))
24141929	POLYGON ((102.041015625 6.15234375, 102.041015625 6.240234375, 102.12890625 6.240234375, 102.12890625 6.15234375, 102.041015625 6.15234375))
24130927	POLYGON ((100.810546875 6.240234375, 100.810546875 6.328125, 100.8984375 6.328125, 100.8984375 6.240234375, 100.810546875 6.240234375))
24130938	POLYGON ((100.8984375 6.240234375, 100.8984375 6.328125, 100.986328125 6.328125, 100.986328125 6.240234375, 100.8984375 6.240234375))
24130939	POLYGON ((100.986328125 6.240234375, 100.986328125 6.328125, 101.07421875 6.328125, 101.07421875 6.240234375, 100.986328125 6.240234375))
24130942	POLYGON ((101.07421875 6.240234375, 101.07421875 6.328125, 101.162109375 6.328125, 101.162109375 6.240234375, 101.07421875 6.240234375))
24130943	POLYGON ((101.162109375 6.240234375, 101.162109375 6.328125, 101.25 6.328125, 101.25 6.240234375, 101.162109375 6.240234375))
24141866	POLYGON ((101.25 6.240234375, 101.25 6.328125, 101.337890625 6.328125, 101.337890625 6.240234375, 101.25 6.240234375))
24141867	POLYGON ((101.337890625 6.240234375, 101.337890625 6.328125, 101.42578125 6.328125, 101.42578125 6.240234375, 101.337890625 6.240234375))
24141870	POLYGON ((101.42578125 6.240234375, 101.42578125 6.328125, 101.513671875 6.328125, 101.513671875 6.240234375, 101.42578125 6.240234375))
24141871	POLYGON ((101.513671875 6.240234375, 101.513671875 6.328125, 101.6015625 6.328125, 101.6015625 6.240234375, 101.513671875 6.240234375))
24141882	POLYGON ((101.6015625 6.240234375, 101.6015625 6.328125, 101.689453125 6.328125, 101.689453125 6.240234375, 101.6015625 6.240234375))
24141883	POLYGON ((101.689453125 6.240234375, 101.689453125 6.328125, 101.77734375 6.328125, 101.77734375 6.240234375, 101.689453125 6.240234375))
24141886	POLYGON ((101.77734375 6.240234375, 101.77734375 6.328125, 101.865234375 6.328125, 101.865234375 6.240234375, 101.77734375 6.240234375))
24141887	POLYGON ((101.865234375 6.240234375, 101.865234375 6.328125, 101.953125 6.328125, 101.953125 6.240234375, 101.865234375 6.240234375))
24141930	POLYGON ((101.953125 6.240234375, 101.953125 6.328125, 102.041015625 6.328125, 102.041015625 6.240234375, 101.953125 6.240234375))
24141931	POLYGON ((102.041015625 6.240234375, 102.041015625 6.328125, 102.12890625 6.328125, 102.12890625 6.240234375, 102.041015625 6.240234375))
24131013	POLYGON ((100.810546875 6.328125, 100.810546875 6.416015625, 100.8984375 6.416015625, 100.8984375 6.328125, 100.810546875 6.328125))
24131024	POLYGON ((100.8984375 6.328125, 100.8984375 6.416015625, 100.986328125 6.416015625, 100.986328125 6.328125, 100.8984375 6.328125))
24131025	POLYGON ((100.986328125 6.328125, 100.986328125 6.416015625, 101.07421875 6.416015625, 101.07421875 6.328125, 100.986328125 6.328125))
24131028	POLYGON ((101.07421875 6.328125, 101.07421875 6.416015625, 101.162109375 6.416015625, 101.162109375 6.328125, 101.07421875 6.328125))
24131029	POLYGON ((101.162109375 6.328125, 101.162109375 6.416015625, 101.25 6.416015625, 101.25 6.328125, 101.162109375 6.328125))
24141952	POLYGON ((101.25 6.328125, 101.25 6.416015625, 101.337890625 6.416015625, 101.337890625 6.328125, 101.25 6.328125))
24141953	POLYGON ((101.337890625 6.328125, 101.337890625 6.416015625, 101.42578125 6.416015625, 101.42578125 6.328125, 101.337890625 6.328125))
24141956	POLYGON ((101.42578125 6.328125, 101.42578125 6.416015625, 101.513671875 6.416015625, 101.513671875 6.328125, 101.42578125 6.328125))
24141957	POLYGON ((101.513671875 6.328125, 101.513671875 6.416015625, 101.6015625 6.416015625, 101.6015625 6.328125, 101.513671875 6.328125))
24141968	POLYGON ((101.6015625 6.328125, 101.6015625 6.416015625, 101.689453125 6.416015625, 101.689453125 6.328125, 101.6015625 6.328125))
24141969	POLYGON ((101.689453125 6.328125, 101.689453125 6.416015625, 101.77734375 6.416015625, 101.77734375 6.328125, 101.689453125 6.328125))
24141972	POLYGON ((101.77734375 6.328125, 101.77734375 6.416015625, 101.865234375 6.416015625, 101.865234375 6.328125, 101.77734375 6.328125))
24141973	POLYGON ((101.865234375 6.328125, 101.865234375 6.416015625, 101.953125 6.416015625, 101.953125 6.328125, 101.865234375 6.328125))
24142016	POLYGON ((101.953125 6.328125, 101.953125 6.416015625, 102.041015625 6.416015625, 102.041015625 6.328125, 101.953125 6.328125))
24130754	POLYGON ((99.140625 6.416015625, 99.140625 6.50390625, 99.228515625 6.50390625, 99.228515625 6.416015625, 99.140625 6.416015625))
24130755	POLYGON ((99.228515625 6.416015625, 99.228515625 6.50390625, 99.31640625 6.50390625, 99.31640625 6.416015625, 99.228515625 6.416015625))
24130758	POLYGON ((99.31640625 6.416015625, 99.31640625 6.50390625, 99.404296875 6.50390625, 99.404296875 6.416015625, 99.31640625 6.416015625))
24130771	POLYGON ((99.580078125 6.416015625, 99.580078125 6.50390625, 99.66796875 6.50390625, 99.66796875 6.416015625, 99.580078125 6.416015625))
24130774	POLYGON ((99.66796875 6.416015625, 99.66796875 6.50390625, 99.755859375 6.50390625, 99.755859375 6.416015625, 99.66796875 6.416015625))
24130950	POLYGON ((100.01953125 6.416015625, 100.01953125 6.50390625, 100.107421875 6.50390625, 100.107421875 6.416015625, 100.01953125 6.416015625))
24130951	POLYGON ((100.107421875 6.416015625, 100.107421875 6.50390625, 100.1953125 6.50390625, 100.1953125 6.416015625, 100.107421875 6.416015625))
24130967	POLYGON ((100.458984375 6.416015625, 100.458984375 6.50390625, 100.546875 6.50390625, 100.546875 6.416015625, 100.458984375 6.416015625))
24131010	POLYGON ((100.546875 6.416015625, 100.546875 6.50390625, 100.634765625 6.50390625, 100.634765625 6.416015625, 100.546875 6.416015625))
24131011	POLYGON ((100.634765625 6.416015625, 100.634765625 6.50390625, 100.72265625 6.50390625, 100.72265625 6.416015625, 100.634765625 6.416015625))
24131014	POLYGON ((100.72265625 6.416015625, 100.72265625 6.50390625, 100.810546875 6.50390625, 100.810546875 6.416015625, 100.72265625 6.416015625))
24131015	POLYGON ((100.810546875 6.416015625, 100.810546875 6.50390625, 100.8984375 6.50390625, 100.8984375 6.416015625, 100.810546875 6.416015625))
